id,litera,cuvant_cheie,continut
11,A,ALEGEREA DE EPISCOP,"Alegerea de episcop o face sinodul Episcopilor din circumscripţia mitropolitană respectivă, în frunte cu Mitropolitul. 4, 6 sin. I ec.; 3 Trul.; 19, 23 Antioh: 12 Laod. 
La alegere trebuie să participe şi credincioşii. 6 Sard.; 50 Cartag. Alegerea se face cu majoritatea voturilor. 6 sin. I ec.;
- Alegerea de Episcop trebuie făcută în termen de trei luni de la data vacantării. Acest termen poate fi prelungit numai în caz de forţă majoră. Mitropolitul care desconsideră această normă se pedepseşte. 25 sin. IV ec.
- Episcopul care administrează o eparhie vacantă şi în curs de un an nu reuşeşte să facă să se completeze vacanţa să fie înlocuit cu un alt Episcop interimar. 74 Cartag.
- Cel ce ajunge Episcop fără învoirea Mitropolitului să nu mai fie Episcop. 6 sin. I ec.;
- Alegerea de Mitropolit o fac Episcopii şi credincioşii din circumscripţia mitropolitană respectivă. 6 Sard."
12,A,ALTAR,"Altarul se poate ridica numai cu binecuvântarea Episcopului. 31 ap.; 5 Antioh; 10, 11 Cartag.
- Cei ce slujesc la altar să se înfrâneze întru toate la vremea când slujesc cele sfinte. 13 Trul.; 4, 25, 70 Cartag.
- Mirenii nu au voie să intre în altar. 69 Trul.
- Femeia să nu intre în altar. 44 Laod.
- Călugării şi călugăriţele au voie să intre în altar. 1 Nicolae al Constantinopolului; 15 Nichifor .
- Altarele ridicate în urma unor descoperiri (vedenii) false să fie înlăturate. 83 Cartag."
13,A,AMESTEC,"Episcopul care se amestecă nepoftit în afacerile altei eparhii să se caterisească. 13, 22 Antioh; 2 sin. II ec.; 20 Trul.; 3, 11 Sard. 
-Să se afurisească  - 18 Ancira"
14,A,AMNISTIE,"Vezi: ABSOLUŢIUNE, GRAŢIERE."
15,A,AMVON,De pe amvon au dreptul să citească numai cei ce au cel puţin hirotesia de citeţ. 33 Trul.; 14 sin VII ec.
16,A,ANATEMA,"Anatema să fie:
Cei ce mijlocesc ca cineva să fie hirotonit sau numit într-o funcţie bisericească prin simonie. 2 sin. IV ec.; 5 VII, Enciclica Ghenadie; Enciclica Tarasie.
- Clericii şi monahii care îşi părăsesc slujba lor. 7 sin. IV ec.
- Cei ce defăimează căsătoria. 1, 10, 14 Gang.
- Cei ce defăimează pe cel ce mănâncă carne. 2 Gang.
- Cel ce afirmă că nu se cuvine a primi Sf. Cuminecătura de la un preot căsătorit. 4 Gang.
- Cel ce lucrează împotriva socotinţei Episcopului. 6, 7, 8 Gang.: 11 Cartag.
- Cel ce se dedică fecioriei din scârbă de căsătorie. 9 Gang.
- Cel ce defaimă pe cei ce fac agape şi cheamă la ele pe săraci. 11 Gang.
- Cel ce sub pretextul ascezei îşi neglijează creşterea copiilor. 15 Gang.
- Cel ce, sub pretextul evlaviei, îşi părăseşte părinţii şi nu le dă cinstea cuvenită. 16 Gang.
- Cel ce, pentru asceză părută, ajunează Duminica. 18 Gang.
- Episcopul care-şi lasă prin testament averea persoanelor eterodoxe. 81 Cartag."
17,A,APEL,"Clericul care a fost judecat şi pedepsit de Episcopul său, dacă se crede nedreptăţit, poate apela la Mitropolit sau la sinod. 5 sin. I ec.; 6 Antioh; 14 Sard.; 11 Cartag.; 4 Teofil
- Sentinţa pe care o dă sinodul provincial cu unanimitate de voturi, contra unui Episcop, este inapelabilă. 15 Antioh. Nu se admite apel împotriva sentinţei date de arbitri. 15, 96, 122 Cartag."
18,A,APOSTAZIE,"Clericul care se leapădă de credinţă să fie exclus din Biserică. 62 ap.
Clericul care e dovedit că, înainte de hirotonie, s-a lepădat de credinţă să se caterisească. 10 sin. I ec."
19,A,APOSTAT,«Harul şi împăcarea (cu Biserica) să nu se refuze.. apostaţilor care se pocăiesc şi se convertesc la Dumnezeu». 45 Cartag.
20,A,ARBITRAJ,"Litigiile dintre clerici pot fi rezolvate şi pe cale de arbitraj, dacă se învoieşte la aceasta, pe lângă clericii respectivi, şi Episcopul. 9 sin. IV ec.; 15 Cartag. 
- Sentinţa dată de arbitri nu se poate apela. 15, 96, 122 Cartag."
21,A,ASCULTARE CANONICĂ,"Clericii să nu săvârşească nimic fără învoirea Episcopului. 39 ap.; 57 Laod.
- Clericii care nu ascultă de Episcopul lor să fie supuşi «pedepselor canoanelor». Monahii şi mirenii să fie afurisiţi. 8 sin. IV ec.; 31 Cartag.; 13 Const. I-II.
- Clericul care defaimă pe Episcop să se caterisească. 55 ap.
- Clericii şi monahii nu pot pleca în alta eparhie fără aprobarea episcopului lor. 23 sin. IV ec. Cei ce nesocotesc această dispoziţie să se caterisească. 17 Trul. 
Vezi şi SCHISMA, SUPUNERE CANONICĂ."
22,A,AUTOCEFALIE,AUTOCEFALIE. 6 sin. I ec.; 2 sin. II ec.; 3 sin. II ec.; 8 sin. III ec.; 36 Trul.
23,A,AUTONOMIE,"30 ap.; 3 sin VII ec.; 
vezi: BISERICA, EPARHIA, EPISCOPUL."
24,A,AVERE,"Episcopul e dator să poarte grijă de averea bisericească şi să o administreze, «ca şi cum l-ar supraveghea Dumnezeu». 38, 41 ap; 12 sin VII ec.; 24,
25 Antioh; 2 Chiril
- Averea bisericească nu e permis să fie administrată fără de Episcop. 7, 8, Gang. 
- Episcopul trebuie să o administreze cu ajutorul unui econom cleric. 26 sin. IV ec.; 11 sin VII ec.
- Episcopul care nu o administrează cu ştirea clericilor din eparhie, ci o dă spre administrare rudelor sale, să fie tras la răspundere de sinod. 25 Antioh.
- Averea bisericii văduvite se administrează de economul acelei biserici. 25 sin. IV ec.
- Ea trebuie să fie bine chivernisită şi cheltuită cu folos. 24 Antioh; 10 Teofil
- Episcopul poate lua din averea Bisericii pentru întreţinerea sa, pentru trebuinţele clerului şi pentru credincioşii săraci. 41, 59 ap.; 25 Antioh.
- Averea Bisericii trebuie să fie inventariată. 33 Cartag.; 1 Const. I-II.
- Averea Bisericii să fie deosebită de averea Episcopului. Episcopul poate lăsa averea sa cui vrea, a Bisericii însă rămâne pentru Biserică. 40 ap.; 24 Antioh.
- Episcopul să nu întrebuinţeze averea Bisericii pentru a zidi mănăstiri în paguba eparhiei. 7 Const. I-II.
- Cel ce-şi însuşeşte obiecte bisericeşti să fie afurisit. Dacă e cleric, să fie caterisit. 73 ap; 10 Const. I-II; 11 Teofil
- Averea bisericească să nu se vândă decât în caz de mare nevoie, dar şi atunci numai cu aprobarea celor în drept. 26, 33 Cartag.
- Vânzarea lucrurilor bisericeşti de către presbiteri, în timpul vacanţei Scaunului episcopesc e anulabilă. Dreptul de a o anula aparţine Episcopului care va fi instituit. 15 Ancira.
- Preoţii şi diaconii nu pot face nimic cu averea Bisericii, fără ştirea Episcopului lor. 39 ap.
- Averea pe care o aduce în mănăstire cel ce intră în monahism rămâne mănăstirii, afară de cazul când respectivul pleacă din mănăstire din vina stareţului. 19 sin VII ec.
- Episcopul poate dispune de averea sa particulară după cum voieşte. 24 Antioh. Nu are însă voie să o lase prin testament persoanelor eterodoxe, nici în cazul că acestea i-ar fi rude. Cei ce nu se supun acestei dispoziţii să fie anatema. 81 Cartag.
- Clericii care, după moartea Episcopului, răpesc bunurile ce au aparţinut defunctului să se caterisească. 22 sin. IV ec.
- Mitropolitul nu are voie ca, la moartea vreunui episcop, să-şi însuşească lucrurile aceluia sau ale Bisericii lui, ci e obligat să le lase spre administrare clerului Bisericii respective, care are datoria să le predea Episcopului următor. 35 Trul.
- Averea pe care o câştigă clericul, în calitate de cleric, trebuie dată Bisericii (fie în timpul vieţii, fie după moartea sa). 32 Cartag."
25,A,AVOCAT,"La Episcopie să fie avocaţi care să apere interesele bisericeşti. 75, 97 Cartag."
26,B,BANI,"Episcopul care, din lăcomie după câştig, pretinde bani de la subalterni să fie pedepsit ca pentru simonie. 4 sin VII ec."
27,B,BĂNUIALA,Persoanelor care stau sub bănuială şi vor să plece dintr-o eparhie în alta li se dă epistolă de recomandare. 11 sin. IV ec.
28,B,BĂTAIA,". Clericul care bate pe cineva să se caterisească. 27 ap.; 9 Const. I-II.
- Clericul care loveşte pe cineva şi-l omoară să se caterisească; mireanul să se afurisească. 65 ap.
- «Cel ce a dat aproapelui lovitură de moarte ucigaş este, ori de a început bătaia, ori de s-a apărat». 43 Vasile cel Mare."
29,B,BENEFICIILE CLERICILOR.,"Clericul se întreţine din darurile credincioşilor. 4 ap.; 8 Teofil
- Cel ce slujeşte la altar, de la altar să se hrănească. 41 ap.
- Clericul să se mulţumească cu darurile ce i le dau credincioşii, în mod benevol. 99 Trul.
- Clericul să se ocupe şi cu gospodăria sau cu alte îndeletniciri compatibile cu preoţia. 15 sin VII ec."
30,B,BEŢIA,"Clericul care se dedă beţiei «ori să înceteze, ori să se caterisească». 42 ap.
- «Clericul inferior şi mireanul care se dedă beţiei ori să înceteze, ori să se afurisească». 43 ap. Vezi şi: CÂRCIUMA."
31,B,BIBLIE,85 ap.; 60 Laod.; 24 Cartag.; 2 Atanasie cel Mare.
32,B,BISERICA,"În biserică sau în curtea bisericii să nu se facă ospătărie. Cel ce face să fie afurisit. 74, 76 Trul.; 28 Laod.; 42 Cartag.
- Clericul care bagă animale în biserică sau în curtea bisericii, afară de cazul de forţă majoră, să se caterisească; mireanul să se afurisească. 88 Trul.
- Biserica pângărită de eretici, să fie luată în folosinţă de ortodocşi numai după ce s-a făcut aici rugăciunea cuvenită. Teodor Studitul, Răsp, la întrebarea a 4-a.
- «Cel ce se hirotoneşte să se numească special pentru biserica unei cetăţi sau a unui sat, sau mucenicească, sau pentru mănăstire». 6 Trul.
- Biserica, organizându-şi unităţile sale administrative, trebuie să ţină seama de împărţirea politică a Statului. 17 sin. IV ec.; 38 Trul.
- Principiul organizării Bisericilor naţionale e recunoscut prin canonul 34 ap.
- Episcopii să nu-şi întindă jurisdicţia asupra altor biserici afară de eparhia lor. 2 sin II ec.
- Episcopul care ocupă în mod arbitrar o biserică văduvită «să fie lepădat». 16 Antioh.
- Episcopul nu poate lăsa nimănui ca moştenire Biserica sa. 76 ap."
33,B,BOTEZ,"Clericul care admite botezul ereticilor să se caterisească. 46,68 ap.
- Clericul care nu săvârşeşte Botezul în numele Sfintei Treimi să se caterisească. 49 ap.
- Clericul care nu săvârşeşte la Taina Botezului trei afundări să se caterisească. 50 ap.
- Învăţătura de a afunda de trei ori în apă pe cel ce se botează şi învăţătura despre lepădările de Satana le avem din Sf. Tradiţie. 91 Vasile cel Mare.
- Botezul unor eretici e valid, al altora nu. 7 sin. II ec.; 7, 8 Laod.; 1, 47 Vasile cel Mare; 47, 57 Cartag.; 95 Trul.
- Cei ce se botează, să înveţe mai întâi credinţa creştină. 78 Trul.; 46 Laod.
- Catehumenul care e bolnav poate fi botezat, deşi nu a împlinit stagiul de catehumen. 26 Nichifor Mărt.; 4 Tim. Alex.; 47 Laod.; 5 Chiril
- Cel care a fost botezat de curând nu poate fi cleric. 80 ap.; 12 Neocez.; 3 Laod.; 10 Sard.; 2 sin. I ec.;
- Copiii mici se botează spre iertarea păcatelor. Cel ce neagă aceasta, să fie anatema. 110 Cartag.
- Copiii despre care nu se ştie precis dacă au fost botezaţi sau nu trebuiesc botezaţi, ca să nu rămână lipsiţi de curăţirea cea sfinţitoare. 84 Trul.; 72 Cartag.
- Copilul nou-născut, dacă e în primejdie de moarte, să fie botezat. 38 Nichifor
- Botezul se săvârşeşte în biserică. Clericii care săvârşesc această Sfântă Taină afară de Biserică, fără aprobarea Episcopului, să se caterisească 31, 59 Trul.; 12 Const. I-II
- Botezul se cuvine să fie săvârşit de Episcop sau de presbiter. 50 ap. În caz de nevoie, el poate fi săvârşit şi de monahul simplu, sau de diacon. 44 Nichifor; 
sau de orice creştin. 45 Nichifor Mărt.; Teodor Studitul, Răsp, la întreb. 11.
- Botezul nu se repetă. 47 ap.; 48 Cartag.
- De ritualul botezului se ţin: binecuvântarea apei, a untdelemnului şi a botezatului, lepădarea de Satana, ungerea cu untdelemn şi cufundarea de trei ori în apă. 91 Vasile cel Mare.
- rudenia de botez, vezi: RUDENIA SPIRITUALĂ."
34,C,CALOMNIATOR,"Cel ce face reclamaţie împotriva clericilor, dacă se constată că aceştia sunt nevinovaţi, iar reclamantul este un calomniator, «să se lepede din comuniune». 19 Cartag.; 
Sau să fie pedepsit cu pedeapsă cu care ar fi fost pedepsit reclamatul, dacă ar fi fost dovedit vinovat. 6 sin. II ec."
35,C,CAMĂTA,"Cel care ia camătă «ori să înceteze, ori să se caterisească». 44 ap.; 17 sin. I ec.; 10 Trul.; 4 Laod.; 5, 16 Cartag.
- Cel ce ia camătă nu poate fi cleric. 14 Vasile cel Mare.
- Cel ce ia camătă nu se cuvine să se împărtăşească.. «dacă stăruieşte în nelegiuire». 32 Nichifor"
36,C,CAPELA,"Vezi: CASĂ DE RUGĂCIUNI, PARACLIS."
37,C,CARNE,"Clericul care se abţine de la mâncare de carne nu pentru înfrânare, ci fiindcă crede că e păcat a gusta carne, «ori să se îndrepteze, ori să se caterisească şi să se lepede din Biserică. Aşijderea şi laicul». 51, 53 ap.; 14 Ancira.
- Cel ce osândeşte pe cel ce mănâncă carne, să fie anatema. 2 Gang.
- Făgăduinţa de a nu mânca carne de porc este absurdă. 28 Vasile cel Mare"
38,C,CARTE CANONICĂ,"Nici un cleric sau mirean (care doreşte să intre în cler) nu poate fi primit în altă eparhie fără carte canonică. 12, 33 ap.; 13 sin. IV ec.; 17 Trul.
- Clericii să nu călătorească în altă eparhie fără carte canonică. 42 Laod. 
Vezi şi EPISTOLE CANONICE."
39,C,CASĂ DE RUGĂCIUNI,"Casa de rugăciuni nu se poate zidi şi în ea nu se poate sluji fără învoirea Episcopului competent. 4 sin. IV ec.; 10, 17 sin. VII ec.
- «Nu se cuvine a aduce jertfă prin case de către Episcopi sau presbiteri».58 Laod. 
Vezi şi: PARACLIS."
40,C,CATALOGUL CLERICILOR,"Episcopul trebuie să aibă catalogul tuturor clericilor. 89 Vasile cel Mare.
- Cei ce sunt trecuţi în acest catalog (adică toţi clericii) sunt supuşi întru toate ierarhilor şi normelor bisericeşti. 15, 18, 51 ap.; 16 sin. I ec.; 5 Trul."
41,C,CATALOGUL EPISCOPILOR,Catalogul episcopilor să se alcătuiască după vechimea hirotoniei lor. 86 Cartag.
42,C,CATEHIZARE,"Unii eretici, care trec la Ortodoxie, trebuie catehizaţi înainte de a fi primiţi în Biserică. 7 sin. II ec.; 95 Trul.
- Preoţii au datoria de a catehiza pe copii şi tineret. 10 sin VII ec.
- Catehizarea catehumenilor au dreptul să o facă numai persoanele încredinţate de Episcop cu aceasta. 26 Laod. 
Vezi şi: ÎNVĂŢĂTURĂ."
43,C,CATERISIRE,"Se pedepseşte cu caterisirea clericul care:
- Aduce la altar altă jertfă decât cea rânduită de Domnul Hristos. 3 ap.; 28 Trul.
- Divorţează din motive de evlavie. 5 ap.; 13 Trul.
- Comunică sau se roagă cu un alt cleric caterisit. 1 Antioh.
- Se face vinovat de desfrânare, jurământ fals şi furt. 25 ap.; 4 Trul.; 3 Vasile cel Mare; 42 Ioan  Ajunatorul
- Îşi însuşeşte un vas sfinţit din biserică şi-1 întrebuinţează spre scopuri necuviincioase. 10 Const. I-II.
- Bate pe cineva. 27 ap.; 9 Const. I-II.
- Omoară om. 65 ap.; 55 Vasile cel Mare.
- Ajunge la demnitatea de cleric prin bani, precum şi acela care hirotoneşte pentru bani, adică simoniacul. 29 ap.; 2 sin. IV ec.; 22 Trul.; 5, 19 sin VII ec.
- Dispreţuieşte pe Episcopul său şi se desparte de el. 31, 55 ap.; 5 Antioh; 13-15 Const. I-II.
- Face conspiraţii contra stăpânirii de stat, contra Episcopului sau altor clerici. 84 ap.; 18 sin. IV ec.; 34 Trul.
- Îşi pierde vremea cu jocuri de noroc sau se dedă beţiei. 42 ap.; 50 Trul.
- Ia camătă de la debitori. 44 ap.; 171; 10 Trul.
- Admite ereticilor să săvârşească ceva ca şi clerici. 45 ap.
- Admite botezul sau jertfa ereticilor. 46 ap.
- Botează din nou pe cel ce are botez adevărat. 47 ap.
- Nu săvârşeşte botezul în numele Sfintei Treimi. 49 ap.; 
sau nu-l săvârşeşte prin 3 afundări. 50 ap.
- Se abţine de la nuntă, carne şi vin nu pentru înfrânare, ci fiindcă le consideră lucruri rele. 51, 53 ap.
- Nu primeşte pe cel ce se pocăieşte. 52 ap.
- Nu poartă grijă de clericii inferiori. 58 ap.
- Se leapădă de calitatea de cleric. 62 ap.
- Posteşte post negru duminica sau sâmbăta (afară de Sâmbăta mare). 66 ap.; 55 Trul.
- Primeşte să fie hirotonit a două oară. Aceeaşi pedeapsă se dă şi Episcopului care hirotoneşte pe un cleric a două oară. 68 ap.
- Defaimă stăpânirea de stat sau pe dregător. 84 ap.
- A fost apostat înainte de hirotonie. 10 sin. I ec.;
- Se transferă cu de la sine putere de la o parohie la alta. 10 sin. IV ec.; 10 sin VII ec.; 3 Antioh.
- După moartea Episcopului, răpeşte bunurile acestuia. 22 sin. IV ec.
- S-a căsătorit a două oară. 3 Trul.
- Se căsătoreşte după hirotonie. 6 Trul.; I Neocez.
- Ţine cârciumă. 9 Trul.
- Pretinde plată pentru Sfânta Cuminecătură. 23 Trul.
- Liturghiseşte sau botează afară de biserică, fără aprobarea Episcopului. 31, 59 Trul.; 10 sin VII ec.; 12 Const. I-II III.
- Nu amestecă vinul, pentru Sf. Euharistie, cu apă. 32 Trul.
- Îşi însuşeşte şi profanează obiectele sfinţite din biserică. 10 Const. I-II.
- Ieromonahul care primeşte în monahism o persoană fără a fi de faţă egumenul mănăstirii în care e chemat să trăiască cel primit în monahism. 2 Const. I-II.
- Refuză să se supună judecăţii bisericeşti. 15 Cartag.
- Nu pomeneşte, la Liturghie, pe Episcopul său. De asemenea, şi Episcopul care nu pomeneşte pe Mitropolitul său. 13 Const. I-II; 14 Const. I-II, sau Mitropolitul care nu pomeneşte pe Patriarhul său. 15 Const. I-II.
- Episcopul care face hirotonii pentru alte eparhii, sau se amestecă, sub orice formă, în afacerile altei eparhii, fără învoirea celor în drept. Cu aceeaşi pedeapsă sunt loviţi şi cei hirotoniţi, pe nedrept, de alt episcop. 35 ap.; 13 Antioh.
- Episcopul care împarte o Mitropolie în două, pentru a deveni şi el Mitropolit. 12 sin. IV ec.
- Episcopul care trăieşte în căsătorie. 12 Trul.
- Episcopul care sfinţeşte o biserică fără sfintele moaşte. 7 sin VII ec.
- Episcopul care primeşte clerici din altă eparhie fără carte canonică şi clericul care pleacă fără carte canonică. 7 Trul.
- Episcopul care, fără cauză justă, lipseşte din eparhie mai mult de şase luni. 16 Const. I-II.
- Episcopul-Vicar, dacă face hirotonii fără aprobarea Episcopului. 10 Antioh."
44,C,CATERISIREA,Pronunţată de Episcopi eterodocşi asupra clericilor ortodocşi este fără valoare. 3 sin. III ec.
45,C,CATERISIT,"Cel caterisit în mod legal trece în rândul mirenilor şi nu mai poate îndeplini nici un serviciu clerical. 27, 28 Cartag.; 8 Nicolae; 21 Trul.
- Caterisitul care ar îndrăzni să săvârşească servicii divine să fie exclus cu totul din Biserică (afurisit). 28 ap.; 4 Antioh.
- Clericul caterisit, dacă se pocăieşte de păcatul pentru care a fost caterisit, i se poate permite să poarte semnele externe clericale. 21 Trul.
- Cel care comunică cu un caterisit să fie lepădat din Biserică. 4 Antioh.
- Clericul care se roagă cu un cleric caterisit să se caterisească. 11 ap.
- Episcopul nu poate fi caterisit de doi Episcopi, ci numai de sinodul episcopesc. 2 Sin. local din C-pol, din anul 394. Iar în lipsa sinodului, de 12 episcopi; presbiterul, de 6 episcopi, diaconul de 3 episcopi, iar ceilalţi clerici, de un Episcop. 12, 20, 100 Cartag.
- Episcopul poate fi caterisit numai de sinod. Ceilalţi clerici pot fi caterisiţi de Episcopul lor. 4 Antioh; 20 Cartag."
46,C,CĂLĂTORIE,"Clericii să nu călătorească fără ştirea Episcopului şi fără carte canonică. 41, 42 Laod."
47,C,CĂLUGĂR,Vezi: MONAH.
48,C,CĂLUGĂRIE,Vezi: MONAHISM.
49,C,CĂLUGĂRIŢĂ,Vezi: MONAHIE.
